1,家のすぐ隣にできて欲しい店wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww ,2017/09/10(日) 12:24:11,chat,雑談,../html/1.html,1.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 風吹けば名無し＠無断転載禁止 </span><span class="date_res"> 2017/09/09(土) 15:09:31.83 ID:W53FMMV600909</span><span class="res_id"></span></div><div class="t_b" > 何 </div><br />
2,家のすぐ隣にできて欲しい店wwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwwww 	,2017/09/10(日) 12:36:07,chat,雑談,../html/2.html,2.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 以下、無断転載禁止でVIPがお送りします </span><span class="date_res"> 2017/09/09(土) 15:14:38.323 ID:KI2DaDYnd0909 BE:977261419-2BP(1000)</span><span class="res_id"></span></div><div class="t_b" >  ローソン </div><br />
3,「コーヒー」「コーラ」「ビール」←こんなかでどれか一つ我慢するならどれや？ 	,2017/09/10(日) 13:11:43,chat,雑談,../html/3.html,3.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 風吹けば名無し＠無断転載禁止 </span><span class="date_res"> 2017/09/09(土) 16:23:00.75 ID:AfleTB7a00909</span><span class="res_id"></span></div><div class="t_b" > やっぱコーヒーか？ <br /> 一日缶1本飲んでるわ </div><br />
4,おんｊ女の子になりたい部,2017/09/10(日) 13:48:01,chat,雑談,../html/4.html,4.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 名無しさん＠おーぷん </span><span class="date_res"> 2017/09/02(土)23:04:22 ID:P7J</span><span class="res_id"></span></div><div class="t_b" > なかったので </div><br />
5,ワイF無能Fラン学生、卒論1ミリも手を付けず中退前夜,2017/09/10(日) 14:10:52,chat,雑談,../html/5.html,5.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 名無しさん＠おーぷん </span><span class="date_res"> 2017/09/09(土)12:40:13 <em style="color: #000000;" class="specified">ID:OcB</em></span><span class="res_id"></span></div><div class="t_b" > ちな2留済み<br /><br />もうこれなんかの病気やろ<br />助けて </div><br />
6,環境に恵まれていたにも関わらず落ちぶれたヤツおるか🙋🏻 	,2017/09/10(日) 14:21:09,chat,雑談,../html/6.html,6.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 風吹けば名無し＠無断転載禁止 </span><span class="date_res"> 2017/09/09(土) 14:57:42.92 ID:gFOax5XU00909</span><span class="res_id"></span></div><div class="t_b" > 傷の舐め合いしよう👻 </div><br />
8,1人1行づつ書いていってSSを完成させるスレ,2017/09/10(日) 14:41:46,fiction,SS・AA,../html/8.html,8.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 名無しさん＠おーぷん </span><span class="date_res"> 2017/09/06(水)17:29:02 ID:rLv</span><span class="res_id"></span></div><div class="t_b" > ふと人の気配を感じて振り返ると </div><br />
9,体育での野球部「陰キャはええからワイが打つで！」「落とすなや陰キャ！」「空振んな陰キャ！」 	,2017/09/10(日) 15:06:38,chat,雑談,../html/9.html,9.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 風吹けば名無し＠無断転載禁止 </span><span class="date_res"> 2017/09/09(土) 14:55:33.76 ID:hNyDUAmqa0909</span><span class="res_id"></span></div><div class="t_b" > サッカー部「気にせんでええよ」「楽しくやろや」 </div><br />
13,いつのまにかこの世から消滅した飲料wwwww 	,2017/09/10(日) 17:12:54,chat,雑談,../html/13.html,13.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 風吹けば名無し＠無断転載禁止 </span><span class="date_res"> 2017/09/08(金) 21:21:39.12 ID:Fy9bY0mvd</span><span class="res_id"></span></div><div class="t_b" > 力水 </div><br />
14,愛する人を殺されて悲しい←わかる　だから犯人を死刑にしろ←死刑にして何が解決すんだよ 	,2017/09/10(日) 18:13:45,chat,雑談,../html/14.html,14.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 以下、無断転載禁止でVIPがお送りします </span><span class="date_res"> 2017/09/08(金) 20:05:11.814 ID:psD8l3li0</span><span class="res_id"></span></div><div class="t_b" > 犯人殺せばお前はその人が殺されたことに納得するのか <br /> ちーがーうーだろ！このハゲ！ <br />  <br /> だから死刑反対なんだよ </div><br />
16,元芸人やけど思わず笑った大喜利ボケ貼ってく 	,2017/09/10(日) 22:50:11,chat,雑談,../html/16.html,16.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 以下、無断転載禁止でVIPがお送りします </span><span class="date_res"> 2017/09/09(土) 14:13:19.225 ID:LRVBw9D300909</span><span class="res_id"></span></div><div class="t_b" > <a href="http://i.imgur.com/cdF8WsM.png" target="_blank" class="image">https://i.imgur.com/cdF8WsM.png</a> </div><br />
17,元芸人やけど思わず笑った大喜利ボケ貼ってく 	,2017/09/10(日) 23:12:18,chat,雑談,../html/17.html,17.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 以下、無断転載禁止でVIPがお送りします </span><span class="date_res"> 2017/09/09(土) 14:13:19.225 ID:LRVBw9D300909</span><span class="res_id"></span></div><div class="t_b" > <a href="http://i.imgur.com/cdF8WsM.png" target="_blank" class="image">https://i.imgur.com/cdF8WsM.png</a> </div><br />
18,元芸人やけど思わず笑った大喜利ボケ貼ってく 	,2017/09/10(日) 23:14:22,chat,雑談,../html/18.html,18.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 以下、無断転載禁止でVIPがお送りします </span><span class="date_res"> 2017/09/09(土) 14:13:19.225 ID:LRVBw9D300909</span><span class="res_id"></span></div><div class="t_b" > <a href="http://i.imgur.com/cdF8WsM.png" target="_blank" class="image">https://i.imgur.com/cdF8WsM.png</a> </div><br />
100000,女「夫が子供の学費のために貯金していたお金で勝手にフィギュア買ってた」,2017/09/11(月) 03:31:50,chat,雑談,../html/100000.html,0.jpg,<div class="t_h" ><span class="number_res">1</span><span class=name_res> 以下、無断転載禁止でVIPがお送りします </span><span class="date_res"> 2017/09/08(金) 14:34:51.578 ID:4zVrzGcQ0</span><span class="res_id"></span></div><div class="t_b" > うまい棒×１０ <br /> ポテトチップス コンソメパンチ <br /> ミンティア カルピス味 </div><br />